id,state,female,lgbt,race,age,education,employed,hours_worked,watch_tucker,watch_maddow,therm_biden,therm_trump,therm_harris,therm_pence,therm_obama,therm_dem_party,therm_rep_party,therm_feminists,therm_liberals,therm_labor_unions,therm_big_business,therm_conservatives,therm_supreme_court,therm_congress,therm_police,therm_scientists,contributed_to_party,voted,voted_for_biden,voted_for_trump,vote_type
439,New York,1,0,Black,45,High school,0,3,0,0,30,40,50,50,50,50,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Did not vote
440,Tennessee,1,0,White,68,Bachelor's degree,1,40,0,0,30,85,30,70,50,15,70,60,40,70,60,70,70,40,85,85,0,1,0,1,Voted for Trump
441,South Carolina,1,0,Black,76,Bachelor's degree,0,3,0,0,85,0,85,30,90,80,25,85,85,70,50,30,40,40,50,85,0,1,1,0,Voted for Biden
442,Arkansas,1,0,White,80,Some college,0,0,0,0,NA,85,30,70,40,40,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Did not vote
443,California,1,0,White,34,Bachelor's degree,0,45,0,0,15,85,0,70,50,0,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Did not vote
444,Alabama,1,0,White,44,Some college,0,0,0,0,15,70,15,100,40,0,100,NA,0,NA,NA,70,60,50,85,NA,0,1,0,1,Voted for Trump
445,Idaho,0,0,White,70,Some college,0,0,0,0,100,0,100,0,85,60,15,50,60,100,0,70,60,40,85,100,0,1,1,0,Voted for Biden
446,New York,1,0,Multiracial,NA,NA,0,0,0,0,60,0,50,60,100,100,85,50,50,70,100,85,100,100,100,100,0,1,1,0,Voted for Biden
447,Kansas,0,0,White,71,High school,1,40,0,0,0,85,0,85,0,15,70,50,0,60,60,85,NA,50,70,50,0,1,0,1,Voted for Trump
448,Florida,1,0,Black,37,Some college,1,40,0,0,96,0,96,50,96,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,Voted for Biden
449,Virginia,0,0,White,31,Bachelor's degree,1,66,0,0,15,85,0,85,30,15,70,50,50,85,85,85,85,50,85,50,0,1,0,1,Voted for Trump
450,Texas,1,0,Hispanic,61,Some college,1,40,0,0,30,70,15,50,15,40,85,0,0,50,30,50,100,60,85,90,0,1,0,1,Voted for Trump
451,North Carolina,0,0,White,43,High school,1,40,1,0,50,100,0,85,0,0,100,0,0,50,50,100,50,50,100,0,0,1,0,1,Voted for Trump
452,Texas,1,0,White,53,Some college,1,50,0,0,90,0,90,0,100,70,40,70,70,50,50,15,70,40,85,90,0,1,1,0,Voted for Biden
453,Ohio,1,0,White,73,High school,0,0,0,0,30,NA,0,50,60,50,50,40,50,70,30,60,40,0,30,60,0,1,0,1,Voted for Trump
454,Idaho,1,0,White,38,Bachelor's degree,1,20,0,0,0,100,0,100,0,0,85,0,0,0,30,100,100,85,100,60,1,1,0,1,Voted for Trump
455,Virginia,1,0,White,73,Some college,0,0,0,0,70,0,85,NA,85,60,0,100,100,100,15,30,40,40,60,100,0,1,1,0,Voted for Biden
456,Maine,1,1,White,31,High school,0,0,0,0,0,40,0,0,40,0,0,50,15,30,15,50,30,40,85,85,0,0,NA,NA,Did not vote
457,Kansas,1,0,White,69,Bachelor's degree,0,0,0,0,20,80,20,70,50,40,70,80,80,60,70,80,85,30,85,75,0,1,0,1,Voted for Trump
458,Idaho,1,0,White,NA,Graduate degree,1,40,0,0,85,0,70,60,85,60,60,70,50,50,40,60,85,70,100,85,0,1,1,0,Voted for Biden
459,Washington,1,0,White,45,Some college,1,25,0,0,50,30,50,30,70,70,15,75,60,80,30,60,70,50,80,90,0,1,1,0,Voted for Biden
460,District of Columbia,1,0,Black,41,Some college,0,30,0,0,70,0,70,0,70,NA,NA,70,NA,85,60,NA,85,70,70,70,0,1,1,0,Voted for Biden
461,Maryland,0,0,White,66,Some college,0,20,0,0,15,100,30,70,15,0,85,15,5,60,30,85,85,65,95,80,0,1,0,1,Voted for Trump
462,California,0,0,White,41,Some college,0,0,0,0,40,20,NA,NA,30,45,20,60,100,60,100,50,85,85,60,85,0,0,NA,NA,Did not vote
463,NA,1,0,White,62,Some college,0,0,0,0,100,30,100,50,70,85,40,100,50,85,70,50,85,60,100,100,0,1,1,0,Voted for Biden
464,New York,0,1,Multiracial,31,Bachelor's degree,0,40,0,0,0,85,0,100,0,0,0,40,50,50,0,50,50,0,50,50,0,0,NA,NA,Did not vote
465,Texas,1,0,White,80,Some college,0,0,0,0,40,85,50,70,15,30,85,40,15,70,30,100,70,60,30,85,1,1,0,1,Voted for Trump
466,Wisconsin,1,0,White,46,Some college,1,40,0,0,0,85,0,100,0,0,70,50,0,0,50,0,40,0,100,68,0,1,0,1,Voted for Trump
467,Utah,0,0,White,70,Bachelor's degree,1,20,0,0,30,85,15,100,30,15,85,50,15,50,85,85,85,40,100,85,0,1,0,1,Voted for Trump
468,California,1,0,Hispanic,21,Less than high school,0,0,0,0,50,0,50,50,100,60,0,60,50,50,40,50,50,40,40,50,0,0,NA,NA,Did not vote
469,Florida,1,0,White,77,Bachelor's degree,0,0,1,0,0,100,0,100,30,0,85,15,15,0,85,100,85,50,100,50,1,0,NA,NA,Did not vote
470,Florida,0,0,Native American,66,Some college,0,20,1,0,0,85,0,100,15,0,60,50,30,40,60,85,70,30,100,50,0,1,NA,NA,Voted for third party
471,Ohio,1,0,White,33,Some college,1,40,0,0,15,60,30,30,0,50,50,50,50,50,50,50,50,50,100,100,0,1,0,0,Voted for third party
472,Michigan,0,0,White,46,Bachelor's degree,1,38,0,0,85,30,85,15,100,100,40,100,100,70,30,40,60,30,70,100,0,1,1,0,Voted for Biden
473,Kansas,1,0,Black,36,High school,1,25,0,0,100,0,100,50,100,50,50,0,0,0,0,0,0,0,0,0,0,1,NA,NA,Voted for third party
474,NA,1,0,Asian,68,High school,0,0,NA,NA,0,50,NA,NA,0,0,NA,NA,60,70,NA,NA,NA,60,70,85,0,0,NA,NA,Did not vote
475,California,1,0,Black,71,Bachelor's degree,0,0,0,0,NA,70,60,70,40,0,0,50,0,50,0,0,50,0,50,0,0,0,NA,NA,Did not vote
476,Utah,0,0,White,37,Some college,1,40,0,0,40,75,40,NA,60,40,70,40,15,40,75,80,50,50,85,100,0,1,0,1,Voted for Trump
477,Texas,0,0,Black,30,Graduate degree,1,40,0,0,0,100,0,100,15,0,70,50,45,60,50,70,65,45,60,65,0,1,0,1,Voted for Trump
478,New Hampshire,0,0,White,79,Bachelor's degree,0,0,0,0,60,0,70,30,NA,60,30,70,70,60,40,50,60,40,70,85,0,1,1,0,Voted for Biden
479,Illinois,0,0,Multiracial,78,Graduate degree,0,0,0,1,85,0,100,15,85,70,15,100,85,60,50,40,60,15,60,100,0,1,1,0,Voted for Biden
480,New Jersey,0,0,Asian,47,Graduate degree,1,40,0,0,40,30,50,60,40,40,50,50,50,40,40,60,50,50,50,60,0,1,1,0,Voted for Biden
481,Washington,1,0,White,72,High school,0,0,0,0,100,0,85,0,100,100,0,100,85,85,40,50,70,40,85,100,0,1,1,0,Voted for Biden
482,New York,1,0,White,71,High school,0,0,0,0,85,0,85,50,85,100,15,50,40,60,50,50,60,40,70,70,1,1,1,0,Voted for Biden
483,Georgia,0,0,White,36,Graduate degree,1,60,0,0,0,85,0,85,0,30,60,30,50,40,70,50,85,40,100,50,0,1,0,1,Voted for Trump
484,Colorado,0,0,White,35,Graduate degree,1,40,0,0,60,0,50,30,70,60,20,15,50,50,15,40,50,40,50,95,0,1,1,0,Voted for Biden
485,California,1,0,Hispanic,56,High school,0,50,0,0,85,0,85,0,100,70,50,50,60,60,50,85,60,60,100,70,0,1,NA,NA,Voted for third party
486,Ohio,0,0,White,64,Less than high school,0,0,0,0,60,15,10,40,70,25,20,50,60,30,20,70,50,60,75,90,0,1,0,0,Voted for third party
487,NA,0,1,White,41,High school,1,40,0,0,60,0,50,0,70,40,0,35,60,40,0,0,65,15,60,80,0,0,NA,NA,Did not vote
488,Georgia,0,0,White,50,Some college,1,25,0,0,100,0,100,0,100,50,0,100,50,100,50,0,100,100,100,100,0,1,1,0,Voted for Biden
489,New Mexico,1,0,White,77,Some college,0,0,0,0,0,100,0,100,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Did not vote
490,Maryland,1,0,Multiracial,NA,Some college,1,40,0,0,40,85,40,85,60,0,85,30,50,50,85,70,50,50,100,85,0,1,0,1,Voted for Trump
491,West Virginia,1,0,White,31,Some college,1,40,0,0,0,100,0,50,15,50,100,50,0,50,50,50,60,60,50,50,0,1,0,1,Voted for Trump
492,Iowa,0,0,White,61,Bachelor's degree,0,0,0,0,90,0,90,0,100,75,10,60,75,60,75,25,90,10,80,90,0,1,1,0,Voted for Biden
493,Oregon,1,0,White,62,Graduate degree,1,32,0,0,85,0,85,15,100,85,30,70,70,70,70,40,60,60,70,85,0,1,1,0,Voted for Biden
494,Arizona,0,0,White,57,Less than high school,1,20,0,0,0,100,0,100,0,0,100,50,50,50,30,85,85,30,100,85,0,1,0,1,Voted for Trump
495,Texas,0,0,White,63,Graduate degree,1,30,0,0,85,0,70,0,85,70,0,60,60,60,15,30,40,60,50,85,0,1,1,0,Voted for Biden
496,Kansas,0,0,White,75,Less than high school,0,0,0,0,70,15,50,15,85,70,15,85,100,70,0,0,60,50,100,100,0,1,1,0,Voted for Biden
497,Kentucky,1,0,White,52,High school,0,0,0,0,30,95,50,85,50,40,70,30,50,85,50,50,85,40,85,85,0,0,NA,NA,Did not vote
498,Tennessee,1,0,Multiracial,64,Graduate degree,0,50,0,0,100,0,100,0,100,50,0,85,85,85,40,50,40,50,70,100,0,1,1,0,Voted for Biden
499,Arizona,0,0,Hispanic,41,Some college,1,40,0,0,0,75,0,75,51,0,70,60,40,70,70,70,70,50,85,70,0,1,0,1,Voted for Trump
500,Tennessee,0,0,White,51,Some college,1,40,0,0,15,85,15,85,50,15,85,50,15,70,85,85,85,70,100,50,0,1,0,1,Voted for Trump
501,Montana,0,0,White,45,High school,1,50,0,0,0,100,0,100,0,0,85,50,100,50,50,0,50,0,100,100,0,1,0,1,Voted for Trump
502,Colorado,1,0,Hispanic,68,Some college,0,0,0,0,100,0,85,0,100,100,30,80,95,15,40,30,75,70,99,100,1,1,1,0,Voted for Biden
503,Pennsylvania,0,0,White,73,Graduate degree,0,20,0,0,0,90,0,90,0,0,100,50,0,10,85,95,80,5,95,90,0,1,0,1,Voted for Trump
504,Florida,0,0,White,65,Graduate degree,0,0,0,0,30,60,30,70,0,0,60,40,30,40,60,85,70,0,70,70,0,1,0,1,Voted for Trump
505,North Carolina,0,0,White,52,Bachelor's degree,1,45,NA,NA,15,90,20,100,30,0,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Did not vote
506,California,0,0,Hispanic,64,Some college,0,0,0,0,60,85,70,60,70,60,100,50,50,50,60,50,60,50,70,70,0,1,0,1,Voted for Trump
507,Georgia,0,0,White,71,Some college,0,20,0,0,0,100,0,100,0,0,70,30,0,0,60,100,60,15,100,85,0,1,NA,NA,Voted for third party
508,Oklahoma,1,0,Native American,38,Bachelor's degree,1,50,0,0,15,40,40,30,40,40,60,100,100,60,40,100,60,60,85,100,0,1,0,1,Voted for Trump
509,Texas,1,0,White,24,High school,1,40,0,0,50,0,15,30,60,50,50,50,60,60,30,30,40,20,50,70,0,1,1,0,Voted for Biden
510,Ohio,1,0,Black,66,Some college,0,0,0,0,0,100,0,90,50,0,100,85,50,80,85,85,90,85,90,95,0,0,NA,NA,Did not vote
511,Arkansas,1,0,Black,50,High school,0,40,0,0,85,NA,85,50,100,100,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Did not vote
512,Texas,0,1,White,49,Bachelor's degree,0,0,0,0,60,0,70,0,70,60,15,100,100,85,15,60,85,40,60,100,0,1,1,0,Voted for Biden
513,Arizona,1,0,Asian,40,Graduate degree,1,40,0,0,60,15,60,15,85,70,30,50,30,50,50,30,50,50,70,70,0,1,1,0,Voted for Biden
514,Iowa,0,0,White,73,Some college,0,0,1,0,0,100,0,100,0,0,60,30,0,0,15,85,60,0,85,30,0,1,0,1,Voted for Trump
515,Kansas,0,0,White,65,High school,0,50,0,0,NA,NA,NA,NA,NA,NA,NA,50,50,NA,40,50,50,40,70,85,0,0,NA,NA,Did not vote
516,Tennessee,1,0,White,34,NA,1,80,0,0,10,90,10,50,0,0,0,50,50,70,50,50,50,50,100,100,0,0,NA,NA,Did not vote
517,California,1,0,White,53,Graduate degree,1,55,0,0,85,5,95,30,95,60,20,90,75,70,40,40,70,35,65,95,0,1,1,0,Voted for Biden
518,Wisconsin,1,0,White,39,Bachelor's degree,1,30,0,1,60,0,85,30,100,70,30,70,70,30,30,40,40,40,70,100,0,1,1,0,Voted for Biden
519,North Dakota,0,0,White,71,High school,1,40,0,0,70,0,85,0,100,70,0,70,85,50,30,NA,85,40,70,100,0,1,1,0,Voted for Biden
520,NA,1,NA,Hispanic,33,Some college,1,35,0,0,30,10,50,NA,60,40,40,100,85,100,60,60,70,50,30,100,0,0,NA,NA,Did not vote
521,Georgia,0,0,White,34,Graduate degree,0,50,0,0,85,0,70,0,95,70,15,75,75,75,45,40,65,60,70,95,1,1,1,0,Voted for Biden
522,Texas,1,0,White,59,Bachelor's degree,1,50,0,0,40,70,15,60,30,40,85,60,30,40,50,85,85,70,85,100,0,1,0,1,Voted for Trump
523,Georgia,1,0,White,72,Less than high school,0,0,0,0,30,85,30,70,15,40,50,50,50,40,40,50,85,40,85,70,0,1,0,1,Voted for Trump
524,New York,1,0,White,52,High school,1,40,0,0,70,0,85,50,85,70,30,70,30,70,70,50,60,15,85,70,0,1,1,0,Voted for Biden
525,South Carolina,0,0,White,53,Graduate degree,0,50,0,0,0,100,0,85,30,0,40,60,20,50,70,80,60,20,40,60,0,0,NA,NA,Did not vote
526,California,0,0,White,35,Graduate degree,1,60,0,0,40,15,30,0,70,15,15,50,40,30,50,30,20,20,70,75,0,1,1,0,Voted for Biden
527,New Mexico,1,0,White,68,Bachelor's degree,0,0,0,0,30,90,30,90,40,25,85,40,NA,40,60,70,100,40,90,NA,1,1,0,1,Voted for Trump
528,Massachusetts,0,0,Asian,54,Graduate degree,1,40,1,0,60,85,30,100,80,15,100,15,30,70,60,100,15,70,70,70,0,1,0,1,Voted for Trump
529,Michigan,1,0,White,74,High school,0,0,0,0,70,0,50,30,100,70,50,50,50,100,50,50,50,50,85,85,0,1,1,0,Voted for Biden
530,Massachusetts,1,0,White,67,Some college,0,0,1,0,0,100,0,100,0,0,100,85,0,60,70,70,0,0,85,100,1,1,0,1,Voted for Trump
531,Minnesota,0,0,White,46,Some college,1,40,0,0,40,60,60,60,70,40,60,60,40,85,60,70,60,60,85,70,0,1,0,1,Voted for Trump
532,Massachusetts,0,0,White,57,Bachelor's degree,0,0,1,0,0,100,0,85,0,0,70,0,5,40,0,70,85,10,70,50,1,1,0,1,Voted for Trump
533,Maryland,1,0,Black,34,High school,0,0,0,0,70,0,70,60,100,100,0,50,50,50,70,50,50,50,50,50,0,1,NA,NA,Voted for third party
534,California,1,0,White,56,High school,1,20,0,0,50,50,30,30,70,50,40,30,60,20,30,40,40,40,50,100,1,1,1,0,Voted for Biden
535,Florida,1,0,White,77,Some college,0,0,0,0,100,0,100,0,100,85,30,70,85,70,85,60,70,70,70,100,0,1,1,0,Voted for Biden
536,Michigan,0,0,Hispanic,43,Some college,0,40,0,0,15,85,10,70,40,10,60,50,50,70,60,60,70,30,70,60,0,1,0,1,Voted for Trump
537,Arkansas,1,0,White,66,Some college,1,40,0,0,70,30,50,50,70,85,50,100,50,50,50,50,85,85,100,85,0,1,1,0,Voted for Biden
538,NA,0,NA,White,NA,Graduate degree,1,55,0,0,50,50,50,50,70,50,50,50,50,50,50,50,50,50,50,50,0,0,NA,NA,Did not vote
539,Texas,0,0,White,60,Some college,1,35,1,0,15,95,0,100,15,0,80,40,15,25,50,80,90,25,85,80,0,1,NA,NA,Voted for third party
540,Connecticut,0,0,White,39,Bachelor's degree,1,40,0,0,15,100,0,95,30,0,80,0,0,25,30,95,100,5,100,15,1,1,0,1,Voted for Trump
541,Missouri,1,0,White,39,Bachelor's degree,1,45,0,0,30,30,15,70,50,0,0,85,65,0,80,65,80,70,70,85,0,1,0,1,Voted for Trump
542,NA,1,0,White,NA,High school,0,0,0,0,15,85,0,85,0,0,70,30,30,40,60,70,60,15,85,85,0,1,0,1,Voted for Trump
543,Illinois,1,0,Black,53,Some college,0,0,0,0,70,15,40,20,85,70,15,85,85,100,85,50,40,30,15,50,0,0,NA,NA,Did not vote
544,New York,1,0,White,71,Graduate degree,0,0,0,0,86,0,90,0,90,85,30,80,95,75,80,NA,60,40,85,NA,1,1,1,0,Voted for Biden
545,California,1,0,White,76,Bachelor's degree,0,0,0,0,NA,70,40,85,60,30,70,30,40,40,50,70,70,60,70,70,0,1,0,1,Voted for Trump
546,Kentucky,0,0,White,80,Less than high school,0,0,0,0,40,85,30,85,30,15,85,50,30,50,60,85,60,60,60,70,0,0,NA,NA,Did not vote
547,Virginia,1,0,White,76,Some college,0,0,0,0,50,70,60,70,60,70,85,60,60,50,60,85,85,60,100,85,0,1,NA,NA,Voted for third party
548,Louisiana,0,0,White,NA,Bachelor's degree,1,40,0,0,0,100,0,100,30,0,100,40,30,NA,40,85,NA,NA,85,50,0,1,0,1,Voted for Trump
549,Oklahoma,0,0,Native American,49,Bachelor's degree,1,40,0,0,15,85,0,100,15,15,40,40,40,10,50,75,100,35,75,90,0,1,0,1,Voted for Trump
550,New York,0,0,Hispanic,37,Graduate degree,1,60,0,0,50,50,50,30,70,40,60,70,70,85,70,70,70,70,100,85,0,0,NA,NA,Did not vote
551,Tennessee,1,0,White,80,Some college,0,0,0,0,40,100,50,100,50,40,85,50,50,40,85,50,70,70,100,85,0,1,0,1,Voted for Trump
552,Florida,1,0,White,72,High school,0,0,0,0,100,0,100,0,100,100,0,80,75,80,45,25,30,80,50,90,0,1,1,0,Voted for Biden
553,NA,0,0,White,51,High school,0,40,0,0,0,100,0,100,0,0,100,30,0,50,60,50,50,50,100,50,0,1,0,1,Voted for Trump
554,Florida,0,0,White,70,Bachelor's degree,0,0,0,1,85,0,70,0,100,70,15,50,60,30,30,30,40,30,40,100,0,1,1,0,Voted for Biden
555,North Carolina,1,0,Black,45,Some college,0,40,0,0,85,0,100,0,100,85,0,100,0,100,85,30,40,40,40,100,0,1,1,0,Voted for Biden
556,Pennsylvania,1,0,White,31,Bachelor's degree,1,40,0,0,60,0,70,0,85,30,0,75,70,90,15,0,15,0,15,100,0,1,1,0,Voted for Biden
557,Illinois,0,0,White,72,Graduate degree,0,0,0,0,85,0,85,15,100,75,15,70,85,40,30,30,60,15,70,85,0,1,1,0,Voted for Biden
558,Idaho,0,0,White,71,Graduate degree,0,20,0,0,15,95,10,95,0,5,75,15,0,15,50,100,60,15,100,85,0,1,0,1,Voted for Trump
559,Colorado,0,0,Multiracial,67,Some college,0,0,0,0,0,100,0,100,NA,0,70,15,15,30,60,85,85,30,70,60,0,1,0,1,Voted for Trump
560,New Jersey,1,0,White,36,Graduate degree,1,8,0,0,75,40,50,100,90,30,30,55,60,40,40,60,100,15,100,85,0,1,0,0,Voted for third party
561,New Jersey,0,0,White,58,Graduate degree,1,40,0,0,15,100,30,100,30,0,85,50,15,50,50,85,70,60,100,60,0,1,0,1,Voted for Trump
562,Indiana,0,0,White,64,Some college,1,60,0,0,50,85,0,100,15,0,60,40,0,40,60,70,70,40,100,50,0,1,0,1,Voted for Trump
563,Texas,0,0,Hispanic,34,High school,0,40,0,0,60,0,50,50,60,50,50,50,50,50,50,50,50,50,50,50,0,0,NA,NA,Did not vote
564,California,1,0,Multiracial,36,Graduate degree,1,40,0,0,90,0,90,0,98,90,0,90,70,90,38,30,40,80,30,98,1,1,1,0,Voted for Biden
565,New York,0,0,Hispanic,44,High school,1,40,0,0,50,70,50,50,85,70,70,50,0,100,85,50,70,70,85,100,0,1,1,0,Voted for Biden
566,Iowa,1,0,White,54,Graduate degree,1,48,0,0,30,70,30,60,30,30,70,50,40,40,60,70,70,40,85,85,0,1,0,1,Voted for Trump
567,California,0,0,White,28,Graduate degree,1,60,0,0,55,0,70,25,75,40,10,70,55,45,45,30,60,15,50,90,0,1,1,0,Voted for Biden
568,Florida,0,0,NA,NA,High school,1,45,0,0,30,60,50,85,80,50,85,50,50,15,50,60,85,30,85,60,0,1,0,1,Voted for Trump
569,California,1,0,White,77,Some college,0,0,1,0,40,100,15,100,15,15,100,40,30,40,50,100,70,60,100,70,1,1,0,1,Voted for Trump
570,Massachusetts,0,0,White,70,Graduate degree,0,0,0,0,0,90,0,100,0,0,70,30,30,0,70,85,60,15,100,70,0,1,0,1,Voted for Trump
571,NA,1,1,White,28,Less than high school,0,0,0,0,50,70,40,50,80,40,60,60,15,0,70,85,0,15,0,60,0,0,NA,NA,Did not vote
572,District of Columbia,1,0,Hispanic,30,Graduate degree,1,40,0,0,60,0,70,0,85,40,30,85,60,50,50,40,30,40,50,85,0,1,1,0,Voted for Biden
573,Florida,0,1,White,37,Some college,1,40,0,0,70,0,85,15,100,70,15,70,85,100,15,0,60,50,60,100,0,1,1,0,Voted for Biden
574,California,1,0,White,45,High school,1,32,0,0,30,85,40,85,60,30,85,40,40,85,60,60,85,70,85,85,0,1,0,1,Voted for Trump
575,California,0,0,White,68,Bachelor's degree,0,0,0,1,62,0,68,0,87,68,0,75,70,51,0,1,10,60,5,85,0,1,1,0,Voted for Biden
576,NA,1,0,White,80,Some college,0,0,0,0,30,85,70,100,30,0,60,70,60,85,70,60,100,15,100,80,0,0,NA,NA,Did not vote
577,New York,1,0,Asian,41,High school,1,50,0,0,15,85,0,70,0,0,70,25,25,50,40,100,60,50,80,60,1,1,0,1,Voted for Trump
578,New York,1,0,White,32,Graduate degree,1,40,0,1,75,0,90,10,100,60,0,100,90,100,20,0,40,25,65,100,0,1,1,0,Voted for Biden
579,NA,0,0,White,24,Bachelor's degree,1,40,0,0,0,0,0,0,0,0,0,60,0,80,30,0,60,10,20,20,0,0,NA,NA,Did not vote
580,Washington,1,0,White,NA,Graduate degree,0,0,0,1,70,NA,70,0,90,65,0,70,70,55,20,0,25,10,40,85,1,1,NA,NA,Voted for third party
581,New Jersey,0,0,Black,42,Less than high school,1,5,0,0,100,0,100,0,100,100,0,50,50,60,50,50,50,50,40,50,0,1,1,0,Voted for Biden
582,Michigan,1,1,White,26,Graduate degree,1,40,0,0,55,52,0,0,80,46,70,40,50,40,45,70,40,40,60,60,0,0,NA,NA,Did not vote
583,North Carolina,0,0,White,50,Graduate degree,1,55,0,0,85,0,85,0,100,70,15,85,85,85,50,15,50,30,70,85,0,1,1,0,Voted for Biden
584,Michigan,0,0,White,46,Graduate degree,1,40,1,0,70,0,85,15,85,60,50,100,60,70,70,60,50,15,85,100,0,1,1,0,Voted for Biden
585,California,0,0,Black,52,Some college,0,0,0,0,50,0,60,0,85,60,0,NA,NA,50,30,NA,70,40,30,85,0,1,1,0,Voted for Biden
586,Tennessee,1,0,White,35,Some college,1,16,0,0,30,100,50,50,30,30,100,40,0,50,50,50,50,50,60,50,0,1,0,1,Voted for Trump
587,South Carolina,0,0,White,76,Some college,0,0,0,0,70,0,70,30,85,60,50,70,70,85,85,70,85,70,90,85,0,1,1,0,Voted for Biden
588,Maryland,1,0,White,63,Some college,1,45,0,1,100,0,85,0,100,60,0,60,85,85,30,15,40,15,60,100,0,1,1,0,Voted for Biden
589,Tennessee,0,0,Hispanic,39,Bachelor's degree,1,40,0,0,60,0,70,15,100,60,0,60,70,40,0,30,70,40,60,70,0,1,1,0,Voted for Biden
590,Illinois,0,0,Asian,28,Bachelor's degree,1,40,0,0,30,100,0,50,15,0,85,0,0,15,40,70,70,30,85,0,0,1,0,1,Voted for Trump
591,Kentucky,0,0,White,66,Some college,0,45,0,0,60,40,60,50,100,50,50,40,30,50,70,85,85,20,85,85,0,1,0,1,Voted for Trump
592,Missouri,1,0,White,45,Graduate degree,1,50,0,0,95,0,95,20,100,85,30,85,90,75,90,40,90,70,95,85,0,1,1,0,Voted for Biden
593,Massachusetts,0,0,White,69,Graduate degree,1,45,0,0,85,0,85,15,100,85,15,85,85,85,50,30,50,60,60,100,0,1,1,0,Voted for Biden
594,Maryland,0,0,White,59,Less than high school,1,40,1,0,0,85,0,85,0,0,70,50,0,0,60,70,60,15,85,50,0,0,NA,NA,Did not vote
595,Texas,0,0,White,79,Some college,0,0,0,1,85,NA,85,50,90,60,0,85,60,50,40,40,60,40,60,70,0,1,1,0,Voted for Biden
596,Ohio,1,0,White,80,Some college,0,0,0,0,0,70,0,70,0,0,60,15,15,15,30,60,50,15,70,40,0,1,0,1,Voted for Trump
597,Virginia,0,0,White,38,Bachelor's degree,1,50,0,0,40,0,50,15,60,0,0,55,40,50,50,30,40,40,50,75,0,1,1,0,Voted for Biden
598,Michigan,1,0,White,74,NA,0,0,0,0,85,15,70,40,85,70,40,70,60,70,50,30,70,40,70,85,0,1,1,0,Voted for Biden
599,North Carolina,1,0,Black,54,Some college,1,40,0,0,100,10,95,20,100,90,40,99,90,90,50,60,50,60,75,100,0,1,NA,NA,Voted for third party
600,Kentucky,1,0,White,45,Graduate degree,1,40,0,0,60,0,60,15,85,40,40,95,90,50,50,65,50,10,75,100,0,1,1,0,Voted for Biden
601,Idaho,1,0,White,42,Some college,1,20,0,0,40,0,70,40,60,40,30,60,40,70,30,40,40,40,85,85,0,1,1,0,Voted for Biden
602,Kansas,0,0,White,75,Bachelor's degree,0,0,0,0,0,100,0,100,0,0,100,0,0,50,100,100,100,50,100,100,0,1,0,1,Voted for Trump
603,Washington,1,0,White,33,High school,1,20,0,0,0,60,40,50,40,0,50,50,50,50,50,50,50,20,80,50,0,1,0,1,Voted for Trump
604,New York,0,0,Hispanic,40,Some college,0,0,0,0,60,0,75,10,90,80,5,50,70,60,35,40,60,60,50,80,0,1,1,0,Voted for Biden
605,New Jersey,1,0,White,56,Some college,1,45,0,0,15,100,50,100,0,15,100,15,15,85,85,15,85,40,99,85,0,1,0,1,Voted for Trump
606,California,0,0,White,44,Some college,1,40,0,0,0,85,0,100,15,0,85,50,30,50,50,60,60,30,60,50,0,1,0,1,Voted for Trump
607,Texas,1,0,Hispanic,80,High school,0,0,0,0,100,40,100,70,100,100,40,60,60,60,60,70,50,50,70,85,0,1,1,0,Voted for Biden
608,Michigan,1,0,White,25,Some college,1,40,0,0,100,0,70,0,100,100,0,100,100,50,30,0,70,30,100,70,0,1,1,0,Voted for Biden
609,Louisiana,0,0,White,26,High school,1,75,0,0,0,100,0,85,50,15,85,50,40,50,70,60,85,60,85,70,0,0,NA,NA,Did not vote
610,Nevada,0,0,White,75,Bachelor's degree,0,0,0,0,85,0,90,0,85,85,0,70,70,60,30,30,40,60,60,85,1,1,1,0,Voted for Biden
611,New Jersey,1,0,White,68,High school,0,40,0,1,85,0,100,0,100,85,30,70,85,85,60,0,30,85,85,100,0,1,1,0,Voted for Biden
612,NA,0,0,White,27,Some college,1,60,0,0,50,75,35,70,75,20,50,50,40,80,40,40,55,35,75,75,0,0,NA,NA,Did not vote
613,Colorado,1,0,Hispanic,46,Some college,1,40,0,0,70,0,85,15,100,75,0,85,70,85,60,50,70,60,85,85,0,1,1,0,Voted for Biden
614,Arkansas,0,0,White,71,Some college,0,0,0,0,15,85,0,100,0,5,85,10,15,20,50,90,90,30,85,50,0,1,NA,NA,Voted for third party
615,New York,1,0,White,49,Graduate degree,1,40,0,0,80,0,100,0,100,90,0,100,98,85,65,5,85,40,60,100,1,1,1,0,Voted for Biden
